((158,(13,0.5320039340181619,0.554034509622521)),null)
((0,(13,0.18151869315630434,0.3504852408618576)),null)
((0,(12,0.06869465632729213,0.11282403682901221)),null)
((0,(13,0.013560619089530216,0.05513403723776192)),null)
((0,(11,0.007589957500823501,0.005970661588706715)),null)
((0,(10,0.00281043869480709,0.0047795188060164116)),null)
((0,(13,0.0,0.00281043869480709)),null)
((0,(0,0.0,0.0)),null)
((0,(0,0.0,0.0)),null)
((0,(0,0.0,0.0)),null)
((0,(0,0.0,0.0)),null)
((0,(0,0.0,0.0)),null)
((0,(0,0.0,0.0)),null)
((0,(0,0.0,0.0)),null)
((0,(0,0.0,0.0)),null)
